_id,created_at,favourite_count,index,retweet_count,text
60f9e95fffc0381c73f2c971,2021-07-20T10:20:00.000Z,,1,0,RT @urstrulyMahesh: Done with my vaccination! Please get yours!! The COVID-19 second wave has hit everyone hard and getting vaccinated is t��_
60f9e95fffc0381c73f2c972,2021-07-20T10:20:00.000Z,,2,,RT @kyawhsanhlaing1: From 12 May to 19 July
60f9e95fffc0381c73f2c973,2021-07-20T10:20:00.000Z,,3,0,Awesome news!!!
60f9e95fffc0381c73f2c974,2021-07-20T10:20:00.000Z,,4,0,"RT @HStarshot: Causing a third wave of COVID-19 to ���own the libs�۝ sure is some dumb shit. But gas prices, right?"
60f9e95fffc0381c73f2c975,2021-07-20T10:20:00.000Z,,5,0,RT @CNN: Twitter on Monday evening temporarily suspended Rep. Marjorie Taylor Greene after she shared misinformation about Covid-19 and vac��_
60f9e95fffc0381c73f2c976,2021-07-20T10:20:00.000Z,,6,0,"RT @19thnews: Even before the pandemic, long-term care in the U.S. suffered staffing shortages and high costs.Then, COVID-19 swept the co��_"
60f9e95fffc0381c73f2c977,2021-07-20T10:20:00.000Z,,7,0,"RT @GregSankey: COVID-19 vaccines are widely available, proven to be highly effective and, when people are fully vaccinated, we all have th��_"
60f9e95fffc0381c73f2c978,2021-07-20T10:20:00.000Z,,8,0,RT @jkarsh: Heartbreaking. Please get vaccinated.
60f9e95fffc0381c73f2c979,2021-07-20T10:20:00.000Z,,9,0,RT @CNN: Twitter on Monday evening temporarily suspended Rep. Marjorie Taylor Greene after she shared misinformation about Covid-19 and vac��_
60f9e95fffc0381c73f2c97a,2021-07-20T10:20:00.000Z,,10,0,"A federal judge gave Indiana University the green light to move forward with its COVID-19 vaccination requirement,��_ https://t.co/78D55DA2he"
60f9e95fffc0381c73f2c97b,2021-07-20T10:20:00.000Z,,11,0,"A federal judge gave Indiana University the green light to move forward with its COVID-19 vaccination requirement,��_ https://t.co/0T6UY0xxlj"
60f9e95fffc0381c73f2c97c,2021-07-20T10:20:00.000Z,,12,0,"RT @historicalleaks: She was 11 when WWI started, 36 when WWII started, 74 when Star Wars released and 116 when Covid-19 started. And her n��_"
60f9e95fffc0381c73f2c97d,2021-07-20T10:20:00.000Z,,13,0,RT @cnnbrk: Twitter on Monday evening temporarily suspended Rep. Marjorie Taylor Greene after she shared misinformation about Covid-19 and��_
60f9e95fffc0381c73f2c97e,2021-07-20T10:20:00.000Z,,14,0,"RT @NikkeiAsia: COVID-19 DELTA VARIANT | Japan's Shimadzu has started selling a PCR testing reagent to detect the coronavirus's highly cont��_"
